Key,english,french
attclasscommon,Survivant,Survivant
attclassengineer,Ingénieur,Ingénieur
attclassmedic,Médecin,Médecin
attclasssoldier,Soldat,Soldat
attclasssurvivalist,Survivaliste,Survivaliste
attclassbuilder,Bâtisseur,Bâtisseur
attclassscout,Éclaireur,Éclaireur
attclassfarmer,Fermier,Fermier
dhsAttClassCommonName,Survivant,Survivant
dhsAttClassCommonDesc,Compétences communes à tous,Compétences communes à tous
dhsClassPointsLabel,Points de classe,Points de classe
dhsReqLvl1,Aucun prérequis de niveau,Aucun prérequis de niveau
dhsReqLvl12,Niveau 12 requis,Niveau 12 requis
dhsReqLvl24,Niveau 24 requis,Niveau 24 requis
dhsReqLvl36,Niveau 36 requis,Niveau 36 requis
dhsReqLvl48,Niveau 48 requis,Niveau 48 requis
dhsattClassEngineerName,Ingénieur,Ingénieur
dhsattClassEngineerDesc,Branche Ingénieur,Branche Ingénieur
dhsattClassMedicName,Médecin,Médecin
dhsattClassMedicDesc,Branche Médecin,Branche Médecin
dhsattClassSoldierName,Soldat,Soldat
dhsattClassSoldierDesc,Branche Soldat,Branche Soldat
dhsattClassSurvivalistName,Survivaliste,Survivaliste
dhsattClassSurvivalistDesc,Branche Survivaliste,Branche Survivaliste
dhsattClassBuilderName,Bâtisseur,Bâtisseur
dhsattClassBuilderDesc,Branche Bâtisseur,Branche Bâtisseur
dhsattClassScoutName,Éclaireur,Éclaireur
dhsattClassScoutDesc,Branche Éclaireur,Branche Éclaireur
dhsattClassFarmerName,Fermier,Fermier
dhsattClassFarmerDesc,Branche Fermier,Branche Fermier
dhsSkillClassCommonName,Survivant,Survivant
dhsSkillClassCommonDesc,Compétences communes à tous,Compétences communes à tous
dhsPerkCommonVitaliteName,Vitalité,Vitalité
dhsPerkCommonVitaliteDesc,Augmente votre santé maximale.,Augmente votre santé maximale.
dhsPerkCommonVitaliteR1,Vitalité,Vitalité
dhsPerkCommonVitaliteR1Long,Niveau 1 : +5. Augmente votre santé maximale.,Niveau 1 : +5. Augmente votre santé maximale.
dhsPerkCommonVitaliteR2,Vitalité,Vitalité
dhsPerkCommonVitaliteR2Long,Niveau 2 : +10. Augmente votre santé maximale.,Niveau 2 : +10. Augmente votre santé maximale.
dhsPerkCommonVitaliteR3,Vitalité,Vitalité
dhsPerkCommonVitaliteR3Long,Niveau 3 : +15. Augmente votre santé maximale.,Niveau 3 : +15. Augmente votre santé maximale.
dhsPerkCommonVitaliteR4,Vitalité,Vitalité
dhsPerkCommonVitaliteR4Long,Niveau 4 : +20. Augmente votre santé maximale.,Niveau 4 : +20. Augmente votre santé maximale.
dhsPerkCommonVitaliteR5,Vitalité,Vitalité
dhsPerkCommonVitaliteR5Long,Niveau 5 : +25. Augmente votre santé maximale.,Niveau 5 : +25. Augmente votre santé maximale.
dhsPerkCommonMetabName,Métabolisme,Métabolisme
dhsPerkCommonMetabDesc,Augmente votre nourriture maximale.,Augmente votre nourriture maximale.
dhsPerkCommonMetabR1,Métabolisme,Métabolisme
dhsPerkCommonMetabR1Long,Niveau 1 : +5. Augmente votre nourriture maximale.,Niveau 1 : +5. Augmente votre nourriture maximale.
dhsPerkCommonMetabR2,Métabolisme,Métabolisme
dhsPerkCommonMetabR2Long,Niveau 2 : +10. Augmente votre nourriture maximale.,Niveau 2 : +10. Augmente votre nourriture maximale.
dhsPerkCommonMetabR3,Métabolisme,Métabolisme
dhsPerkCommonMetabR3Long,Niveau 3 : +15. Augmente votre nourriture maximale.,Niveau 3 : +15. Augmente votre nourriture maximale.
dhsPerkCommonMetabR4,Métabolisme,Métabolisme
dhsPerkCommonMetabR4Long,Niveau 4 : +20. Augmente votre nourriture maximale.,Niveau 4 : +20. Augmente votre nourriture maximale.
dhsPerkCommonMetabR5,Métabolisme,Métabolisme
dhsPerkCommonMetabR5Long,Niveau 5 : +25. Augmente votre nourriture maximale.,Niveau 5 : +25. Augmente votre nourriture maximale.
dhsPerkCommonConstiName,Constitution,Constitution
dhsPerkCommonConstiDesc,Réduit légèrement tous les dégâts subis.,Réduit légèrement tous les dégâts subis.
