Key,english,french
dhsAttClassesName,Classes,Classes
dhsAttClassesDesc,Class specializations,Spécialisations de classe
dhsSkillClassCommonName,Survivor,Survivant
dhsSkillClassCommonDesc,Common skills available to everyone,Compétences communes à tous
dhsPerkCommonToughnessName,Toughness,Robustesse
dhsPerkCommonToughnessDesc,Reduces physical damage taken.,Réduit les dégâts physiques subis.
dhsPerkCommonForagerName,Forager,Cueilleur
dhsPerkCommonForagerDesc,Harvest more food from animals and wild plants.,Récolte plus de nourriture sur les animaux et plantes sauvages.
dhsPerkCommonEnduranceName,Endurance,Endurance
dhsPerkCommonEnduranceDesc,Reduces stamina loss from actions.,Réduit la perte d'endurance des actions.
dhsSkillClassEngiMechName,Mechanic,Mécanicien
dhsSkillClassEngiMechDesc,Mechanic specialization,Spécialisation Mécanicien
dhsReqClassEngiMech,Requires the Mechanic class,Nécessite la classe Mécanicien
dhsBookClassEngiMech,Class Manual: Mechanic,Manuel de classe : Mécanicien
dhsBookClassEngiMechDesc,Read to become a Mechanic. Grants the basic class skill and unlocks the class progression.,À lire pour devenir Mécanicien. Octroie la compétence de base et débloque la progression de classe.
dhsMagEngiMech,Mechanic Manual,Manuel : Mécanicien
dhsMagEngiMechDesc,A Mechanic magazine. Only useful to members of this class.,Un magazine de Mécanicien. Utile uniquement aux membres de cette classe.
dhsPerkEngiMechMasteryName,Mechanic Mastery,Mécanicien : Maîtrise
dhsPerkEngiMechMasteryDesc,Improves your mechanic specialization.,Améliore votre spécialisation Mécanicien.
dhsPerkEngiMechHandlingName,Mechanic Handling,Mécanicien : Maniement
dhsPerkEngiMechHandlingDesc,Improves your mechanic specialization.,Améliore votre spécialisation Mécanicien.
dhsSkillClassEngiElecName,Electrician,Électricien
dhsSkillClassEngiElecDesc,Electrician specialization,Spécialisation Électricien
dhsReqClassEngiElec,Requires the Electrician class,Nécessite la classe Électricien
dhsBookClassEngiElec,Class Manual: Electrician,Manuel de classe : Électricien
dhsBookClassEngiElecDesc,Read to become a Electrician. Grants the basic class skill and unlocks the class progression.,À lire pour devenir Électricien. Octroie la compétence de base et débloque la progression de classe.
dhsMagEngiElec,Electrician Manual,Manuel : Électricien
dhsMagEngiElecDesc,A Electrician magazine. Only useful to members of this class.,Un magazine de Électricien. Utile uniquement aux membres de cette classe.
dhsPerkEngiElecMasteryName,Electrician Mastery,Électricien : Maîtrise
dhsPerkEngiElecMasteryDesc,Improves your electrician specialization.,Améliore votre spécialisation Électricien.
dhsPerkEngiElecHandlingName,Electrician Handling,Électricien : Maniement
dhsPerkEngiElecHandlingDesc,Improves your electrician specialization.,Améliore votre spécialisation Électricien.
dhsPerkEngiElecDismemberName,Electrician Brutality,Électricien : Brutalité
dhsPerkEngiElecDismemberDesc,Improves your electrician specialization.,Améliore votre spécialisation Électricien.
dhsSkillClassMedicSurgName,Surgeon,Chirurgien
dhsSkillClassMedicSurgDesc,Surgeon specialization,Spécialisation Chirurgien
dhsReqClassMedicSurg,Requires the Surgeon class,Nécessite la classe Chirurgien
dhsBookClassMedicSurg,Class Manual: Surgeon,Manuel de classe : Chirurgien
dhsBookClassMedicSurgDesc,Read to become a Surgeon. Grants the basic class skill and unlocks the class progression.,À lire pour devenir Chirurgien. Octroie la compétence de base et débloque la progression de classe.
dhsMagMedicSurg,Surgeon Manual,Manuel : Chirurgien
dhsMagMedicSurgDesc,A Surgeon magazine. Only useful to members of this class.,Un magazine de Chirurgien. Utile uniquement aux membres de cette classe.
dhsPerkMedicSurgMasteryName,Surgeon Mastery,Chirurgien : Maîtrise
dhsPerkMedicSurgMasteryDesc,Improves your surgeon specialization.,Améliore votre spécialisation Chirurgien.
